对话,指标
"user question:如何在紧急情况下应急打开车内尾门-system response:在紧急情况下,应急打开车内尾门时,可参考以下通用操作步骤,具体设计可能因车型不同有所差异,建议以车辆说明书为准,1.手动应急开启步骤...",用车技巧
,复杂指令识别
,回答质量
,模态丰富性
,信息架构与呈现
"user question:请推荐几个适合看海的地点-system response:以下是几个适合看海的推荐地点,1 浦东三甲岗,位置 浦东新区川阳和入海口,特色 6公里长的生活暗线,水天相连,适合观看海上日出",模糊意图识别
,回答质量
,信息架构与呈现
user question:副驾座椅靠背调高-system response:为了安全还是手动调节吧,直接指令识别
"user question:导航去舟山, 要经过有充电站的服务区-system response:我找到了多个地点哦,咱们去哪个呢",复杂指令识别
,出行生态信息
user question:我累了 让我在车里休息下-system response:我来调整主驾座椅，告诉我想休息多久呢,复杂指令识别
,模态丰富性
"user question:我想听陈奕迅的歌。(追问)他最近有没有新歌上线?-system response:好的,我们一起来听陈奕迅的最佳损友吧。陈奕迅近期推出了重录的经典歌曲,K歌之王 ",直接指令识别
,上下文记忆
,回答质量
,模态丰富性
,信息架构与呈现
user question:吃了酒酿可以开车吗-system response:根据交通法规和食品安全知识，食用酒酿后是否能开车，需根据具体情况判断，以下是关键分析， 1.酒酿的酒精含量，1.传统酒酿，由糯米发酵制成...,交通知识
,直接指令识别
,回答质量
,信息架构与呈现
"user question:陪伴我10年的宠物去世了-system response:宠物的离开确实让人很难过,他们陪伴我们度过那么多时光,我明白你现在一定很痛苦,你愿意和我聊聊你们之间的美好回忆吗?",情感响应能力
"user question:大裤衩指的是哪个建筑?（追问）以下是相似的建筑有哪些?（追问）哪个更值得打卡?-system response:你提到的大裤衩,通常是指中国北京市的中央电视台总部大楼,CCTV大楼...以下是一些设计风格与央视大楼、大裤衩相似的建筑,均以几何切割、悬壁结构、流线型外观或大胆创新为特点,体现了现代主义与实验性设计的结合，1.北京大兴国际机场...以下是针对大库厂、央视大楼及设计风格相似、建筑的打卡价值分析供参考,1.央视总部大楼、大裤衩、打卡价值、地标性、北京东三环...",上下文记忆
,直接指令识别
,通识知识
